,astA_AB_MRM1
1364,43.38000488
1365,43.36000443
1366,43.34000397
1367,43.38000488
1368,43.40000153
1369,43.38000488
1370,43.32000351
1371,43.36000443
1372,43.32000351
1373,43.38000488
1374,43.38000488
1375,43.40000153
1376,43.42000198
1377,43.44000244
1378,43.58000183
1379,43.6400032
1380,43.58000183
1381,43.66000366
1382,43.70000458
1383,43.66000366
1384,43.60000229
1385,43.58000183
1386,43.6400032
1387,43.54000473
1388,43.56000137
1389,43.56000137
1390,43.44000244
1391,43.40000153
1392,43.50000381
1393,43.54000473
1394,43.60000229
1395,43.52000427
1396,43.54000473
1397,43.50000381
1398,43.50000381
1399,43.48000336
1400,43.38000488
1401,43.26000214
1402,43.22000122
1403,43.12000275
1404,43.12000275
1405,43.16000366
1406,43.18000412
1407,43.18000412
1408,43.24000168
1409,43.32000351
1410,43.28000259
1411,43.24000168
1412,43.24000168
1413,43.18000412
1414,43.18000412
1415,43.20000458
1416,43.20000458
1417,43.22000122
1418,43.20000458
1419,43.26000214
1420,43.30000305
1421,43.34000397
1422,43.38000488
1423,43.34000397
1424,43.38000488
1425,43.34000397
1426,43.28000259
1427,43.24000168
1428,43.30000305
1429,43.22000122
1430,43.24000168
1431,43.16000366
1432,43.1400032
1433,43.08000183
1434,43.10000229
1435,43.10000229
1436,43.1400032
1437,43.08000183
1438,43.16000366
1439,43.16000366
1440,43.24000168
1441,43.30000305
1442,43.40000153
1443,43.42000198
1444,43.4600029
1445,43.42000198
1446,43.44000244
1447,43.4600029
1448,43.52000427
1449,43.60000229
1450,43.6400032
1451,43.58000183
1452,43.70000458
1453,43.84000397
1454,43.88000488
1455,43.86000443
1456,43.92000198
1457,43.98000336
1458,43.88000488
1459,43.88000488
1460,43.98000336
1461,43.80000305
1462,43.68000412
1463,43.62000275
1464,43.62000275
1465,43.72000122
1466,43.72000122
1467,43.84000397
1468,43.80000305
1469,43.80000305
1470,43.88000488
1471,43.9600029
1472,43.92000198
1473,43.88000488
1474,43.66000366
1475,43.60000229
1476,43.70000458
1477,43.80000305
1478,43.72000122
1479,43.74000168
1480,43.68000412
1481,43.72000122
1482,43.76000214
1483,43.80000305
1484,43.84000397
1485,43.78000259
1486,43.88000488
1487,44.00000381
1488,44.04000473
1489,44.08000183
1490,44.06000137
1491,44.02000427
1492,44.00000381
1493,43.92000198
1494,43.92000198
1495,44.00000381
1496,44.00000381
1497,44.06000137
1498,44.08000183
1499,44.20000458
1500,44.28000259
1501,44.26000214
1502,44.44000244
1503,44.52000427
1504,44.4600029
1505,44.4600029
1506,44.60000229
1507,44.58000183
1508,44.62000275
1509,44.72000504
1510,44.78000259
1511,44.86000443
1512,44.74000168
1513,44.76000214
1514,44.76000214
1515,44.62000275
1516,44.54000473
1517,44.26000214
1518,44.10000229
1519,43.94000244
1520,43.66000366
1521,43.82000351
1522,43.82000351
1523,43.88000488
1524,43.9600029
1525,44.06000137
1526,44.20000458
1527,44.12000275
1528,44.18000412
1529,44.16000366
1530,44.00000381
1531,43.88000488
1532,43.84000397
1533,43.74000168
1534,43.70000458
1535,43.68000412
1536,43.78000259
1537,43.72000122
1538,43.80000305
1539,43.84000397
1540,43.90000153
1541,43.9600029
1542,44.1400032
1543,44.18000412
1544,44.26000214
1545,44.26000214
1546,44.42000198
1547,44.4600029
1548,44.54000473
1549,44.58000183
1550,44.60000229
1551,44.52000427
1552,44.52000427
1553,44.48000336
1554,44.44000244
1555,44.38000488
1556,44.28000259
1557,44.28000259
1558,44.28000259
1559,44.26000214
1560,44.28000259
1561,44.38000488
1562,44.48000336
1563,44.6400032
1564,44.70000458
1565,44.82000351
1566,44.80000305
1567,44.86000443
1568,44.88000488
1569,44.94000244
1570,44.88000488
1571,44.80000305
1572,44.74000168
1573,44.72000504
1574,44.76000214
1575,44.84000397
1576,44.76000214
1577,44.88000488
1578,44.78000259
1579,44.74000168
1580,44.92000198
1581,45.1400032
1582,45.1400032
1583,45.06000137
1584,45.02000427
1585,45.04000473
1586,44.98000336
1587,45.10000229
1588,45.18000412
1589,44.98000336
1590,44.82000351
1591,45.08000183
1592,45.18000412
1593,45.30000305
1594,45.34000397
1595,45.48000336
1596,45.50000381
1597,45.62000275
1598,45.74000168
1599,45.76000214
1600,45.6400032
1601,45.72000504
1602,45.6400032
1603,45.50000381
1604,45.24000168
1605,45.06000137
1606,44.9600029
1607,44.90000153
1608,44.9600029
1609,44.92000198
1610,44.9600029
1611,45.00000381
1612,45.06000137
1613,45.00000381
1614,45.02000427
1615,45.08000183
1616,45.04000473
1617,45.08000183
1618,45.04000473
1619,44.86000443
1620,44.80000305
1621,44.82000351
1622,44.82000351
1623,44.76000214
1624,44.54000473
1625,44.54000473
1626,44.60000229
1627,44.70000458
1628,44.98000336
1629,45.06000137
1630,45.12000275
1631,45.36000443
1632,45.38000488
1633,45.32000351
1634,45.26000214
1635,44.98000336
1636,44.88000488
1637,44.52000427
1638,44.50000381
1639,44.42000198
1640,44.30000305
1641,44.22000504
1642,44.34000397
1643,44.44000244
1644,44.62000275
1645,44.56000137
1646,44.60000229
1647,44.42000198
1648,44.30000305
1649,44.06000137
1650,44.00000381
1651,43.76000214
1652,43.6400032
1653,43.6400032
1654,43.70000458
1655,43.68000412
1656,43.68000412
1657,43.66000366
